                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1179,                 3.9412,                 4.1934,                0.00107,                0.47059,                0.00254,                0.00066,                  2.951,                 5.8987,                 4.1467,                0.00048,                0.00048,                0.00048
                      2,                 2.9651,                 3.7029,                 3.9754,                0.00107,                0.47059,                0.00223,                0.00079,                 2.6494,                 5.6867,                 3.9548,             0.00094766,             0.00094766,             0.00094766
                      3,                 2.8739,                 3.4026,                 3.6219,                  0.001,                0.44118,                0.00547,                0.00123,                 2.8478,                 6.4994,                 3.8243,              0.0013823,              0.0013823,              0.0013823
                      4,                 2.7256,                 3.1803,                 3.3508,                0.02534,                0.20588,                0.00905,                0.00294,                 2.8291,                  77.28,                 3.8389,               0.001784,               0.001784,               0.001784
                      5,                 2.7035,                 3.0758,                 3.2343,                0.00582,                0.11765,                0.00152,                0.00024,                 3.9066,                 2409.8,                 60.122,               0.001736,               0.001736,               0.001736
                      6,                 2.5453,                  2.813,                 3.1265,                0.00456,                0.02941,                0.00212,                0.00049,                 2.9243,                 11.732,                 23.168,               0.001736,               0.001736,               0.001736
                      7,                 2.4886,                 2.6847,                 3.1346,                0.10772,                0.11765,                0.06581,                0.03285,                 2.5304,                 5.5932,                 3.6469,                0.00167,                0.00167,                0.00167
                      8,                 2.4404,                 2.5358,                 3.0203,                0.29572,                0.41176,                0.26473,                0.13783,                  1.936,                 4.0787,                 2.5876,               0.001604,               0.001604,               0.001604
                      9,                 2.4114,                 2.4096,                 2.9599,                0.45332,                0.41176,                0.43985,                0.22286,                 1.8869,                 3.7208,                 2.5247,               0.001538,               0.001538,               0.001538
                     10,                 2.2613,                 2.3387,                 2.8477,                0.34345,                0.24646,                0.18487,                0.07885,                 2.1816,                  3.769,                 2.9181,               0.001472,               0.001472,               0.001472
                     11,                 2.2086,                 2.2745,                  2.792,                0.50061,                0.29412,                0.33687,                0.20323,                 1.7198,                 4.0349,                 2.3439,               0.001406,               0.001406,               0.001406
                     12,                 2.1836,                 2.1404,                 2.7998,                0.68556,                0.41176,                0.45457,                0.25773,                 1.7023,                 5.0141,                 2.4116,                0.00134,                0.00134,                0.00134
                     13,                 2.1157,                 2.0916,                 2.7159,                0.58312,                0.47059,                 0.4931,                0.27264,                 1.7553,                 2.5901,                 2.4128,               0.001274,               0.001274,               0.001274
                     14,                 2.0643,                 2.0709,                 2.6983,                0.50513,                0.48056,                0.50305,                0.27541,                 1.7043,                 3.5109,                 2.3768,               0.001208,               0.001208,               0.001208
                     15,                 1.9763,                 1.9853,                  2.574,                0.71945,                0.52941,                0.59801,                0.34692,                 1.6853,                 2.3124,                 2.2573,               0.001142,               0.001142,               0.001142
                     16,                 1.9417,                 1.8729,                 2.5356,                0.54296,                0.58824,                0.59431,                0.34812,                 1.5765,                 2.1403,                 2.2241,               0.001076,               0.001076,               0.001076
                     17,                 1.8623,                 1.8204,                 2.4775,                0.77427,                0.61765,                0.67932,                0.43355,                  1.396,                 2.3914,                 2.0454,                0.00101,                0.00101,                0.00101
                     18,                 1.7895,                 1.7733,                 2.3814,                0.65352,                0.55488,                0.56502,                0.35385,                 1.4062,                 2.8347,                   2.05,               0.000944,               0.000944,               0.000944
                     19,                 1.7378,                 1.6626,                 2.3055,                0.68268,                0.52941,                0.63728,                0.36064,                 1.5062,                 2.2771,                 2.0507,               0.000878,               0.000878,               0.000878
                     20,                 1.8022,                 1.7215,                 2.3637,                0.54404,                0.56156,                0.60555,                0.37828,                   1.46,                 1.8925,                 2.0649,               0.000812,               0.000812,               0.000812
                     21,                 1.4814,                 1.5877,                 2.1557,                0.65355,                0.64706,                0.69123,                0.45208,                 1.3389,                 1.8325,                 1.9302,               0.000746,               0.000746,               0.000746
                     22,                 1.3802,                 1.3598,                 2.0499,                0.77791,                0.61815,                0.63328,                 0.4297,                 1.3371,                 1.9541,                 1.9339,                0.00068,                0.00068,                0.00068
                     23,                 1.3571,                 1.3333,                 2.0712,                0.70652,                0.56666,                0.65464,                 0.4627,                 1.2343,                  2.189,                 1.8683,               0.000614,               0.000614,               0.000614
                     24,                 1.3136,                 1.2597,                 2.0346,                0.74772,                0.64706,                0.70085,                0.48112,                 1.2316,                 1.9208,                  1.783,               0.000548,               0.000548,               0.000548
                     25,                 1.3317,                 1.2305,                 1.9932,                0.77171,                0.69617,                0.71383,                0.42988,                 1.3999,                 1.6999,                 1.8912,               0.000482,               0.000482,               0.000482
                     26,                 1.3141,                 1.2001,                 1.9449,                0.73889,                0.67647,                 0.6969,                0.46883,                 1.2986,                 1.5741,                 1.8345,               0.000416,               0.000416,               0.000416
                     27,                 1.2647,                 1.1404,                 1.9124,                0.63882,                0.82353,                0.71281,                0.47786,                 1.1897,                 1.5427,                 1.7559,                0.00035,                0.00035,                0.00035
                     28,                 1.2764,                 1.1461,                 1.9299,                0.66144,                0.74719,                0.72418,                 0.5146,                 1.1617,                 1.5512,                 1.7113,               0.000284,               0.000284,               0.000284
                     29,                 1.2239,                 1.0925,                 1.8779,                0.80525,                 0.7298,                0.76009,                0.56995,                 1.0879,                 1.4067,                 1.6541,               0.000218,               0.000218,               0.000218
                     30,                 1.2066,                  1.055,                 1.8633,                0.71346,                0.76471,                0.74114,                0.54507,                 1.1318,                 1.4095,                 1.7083,               0.000152,               0.000152,               0.000152
